caseID;seed;friendAgentsRelationships;friendAgentsGoalsRelationships;friendAgentsRelationships_distance_angle;friendAgentsBattleFieldLocalization;deceptiveLevel;strategy;description;result;Planning
0;1;{{,,,,}:{F-F,,,,}:{VC-L,F-LB,,,}:{C-RF,A-B,A-R,,}:{F-F,VC-LB,F-F,A-F,}};{{VF-LF,F-F}:{VF-LF,VF-F}:{VF-LF,F-F}:{VF-LF,F-F}:{VF-LF,VF-F}};{{,,,,}:{58.6503028869629-1143.1474609375,,,,}:{0.587508141994476-191.376586914063,58.0818405151367-1161.99865722656,,,}:{32.663745880127-420.525848388672,25.9899940490723-851.243774414063,32.0971183776855-560.568481445313,,}:{52.9903793334961-1067.11804199219,5.66022396087646-131.897689819336,52.4217567443848-1068.59997558594,20.331714630127-814.936218261719,}};{DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE};NOT_DECEPTIVE;OFENSIVE;Caso 1477686966 Original;True;(case_id:0|solutionType:NOT_DECEPTIVE|actions:<Move,Agent3,Flag10_Team2,NOT_DECEPTIVE,NORMAL,A-RF,A-RF,1,905,798>)
1;1;{{,,,,}:{VF-L,,,,}:{F-LB,A-RB,,,}:{VC-L,VF-R,F-RF,,}:{VF-L,A-B,A-L,VF-L,}};{{VF-F,VF-RF}:{VF-LF,F-F}:{VF-LF,F-F}:{VF-F,VF-RF}:{VF-LF,F-F}};{{,,,,}:{99.6728363037109-2336.76733398438,,,,}:{107.543800354004-1836.16040039063,7.89881229400635-906.503723144531,,,}:{6.95491218566895-193.643997192383,92.7180480957031-2177.62890625,100.589965820313-1730.55163574219,,}:{117.19596862793-2313.26635742188,17.5255279541016-534.060852050781,9.65840148925781-554.187683105469,110.241477966309-2184.58081054688,}};{DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE};NOT_DECEPTIVE;OFENSIVE;Caso 1449737012 Original;True;(case_id:1|solutionType:NOT_DECEPTIVE|actions:<Move,Agent5,Flag10_Team2,NOT_DECEPTIVE,NORMAL,F-RF,F-RF,1,1068,191>)
2;1;{{,,,,}:{A-R,,,,}:{C-F,A-LF,,,}:{A-LB,F-L,F-LB,,}:{A-F,F-LF,C-F,F-RF,}};{{VF-LF,F-F}:{F-LF,F-RF}:{VF-LF,VF-F}:{VF-L,F-F}:{VF-LF,VF-F}};{{,,,,}:{79.232048034668-802.269897460938,,,,}:{26.3932991027832-420.601959228516,52.8489990234375-766.632263183594,,,}:{33.232608795166-801.908996582031,112.459381103516-1521.94116210938,59.6254196166992-1177.24597167969,,}:{28.5451698303223-691.80126953125,50.7033576965332-1063.60241699219,2.15622091293335-333.054046630859,61.7763366699219-1334.10229492188,}};{DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE};NOT_DECEPTIVE;OFENSIVE;Caso 814152831 Original;True;(case_id:2|solutionType:NOT_DECEPTIVE|actions:<Move,Agent4,Flag10_Team2,NOT_DECEPTIVE,NORMAL,F-RF,F-RF,1,1244,577>)
3;1;{{,,,,}:{F-LF,,,,}:{F-L,F-LB,,,}:{F-L,A-LB,C-RF,,}:{F-L,F-LB,C-L,A-L,}};{{F-F,VF-RF}:{VF-LF,VF-F}:{VF-LF,F-F}:{VF-LF,F-F}:{VF-LF,F-F}};{{,,,,}:{75.3188781738281-1200.82055664063,,,,}:{150.658096313477-1585.61791992188,75.3621444702148-1160.78332519531,,,}:{116.704383850098-1329.07971191406,41.3944206237793-724.721313476563,33.9677276611328-436.331298828125,,}:{145.183654785156-1872.58374023438,69.8762435913086-1248.17468261719,5.49165678024292-334.104766845703,28.4827499389648-589.234252929688,}};{DEFENSIVE,DEFENSIVE,NEUTRAL,DEFENSIVE,DEFENSIVE};NOT_DECEPTIVE;OFENSIVE;Caso 1931235537 Original;True;(case_id:3|solutionType:NOT_DECEPTIVE|actions:<Move,Agent5,Flag10_Team2,NOT_DECEPTIVE,NORMAL,F-RF,F-RF,1,1031,795>)
4;1;{{,,,,}:{F-L,,,,}:{VF-LF,A-B,,,}:{VC-LB,F-R,F-RB,,}:{F-LF,A-RF,A-RB,F-LF,}};{{F-F,VF-RF}:{VF-LF,F-F}:{VF-LF,VF-F}:{F-F,VF-RF}:{VF-F,VF-RF}};{{,,,,}:{123.029167175293-1525.49340820313,,,,}:{98.3863983154297-1903.00024414063,24.6591453552246-880.227233886719,,,}:{6.85214519500732-196.57568359375,129.875839233398-1421.44152832031,105.236953735352-1885.16735839844,,}:{61.4428329467773-1040.93994140625,61.593936920166-811.316223144531,36.9435997009277-865.074584960938,68.2936248779297-1041.607421875,}};{DEFENSIVE,DEFENSIVE,DEFENSIVE,NEUTRAL,DEFENSIVE};NOT_DECEPTIVE;OFENSIVE;Caso 2067476030 Original;True;(case_id:4|solutionType:NOT_DECEPTIVE|actions:<Move,Agent2,Flag10_Team2,NOT_DECEPTIVE,NORMAL,A-RF,A-RF,1,628,0677>)
5;1;{{,,,,}:{VF-L,,,,}:{A-B,F-R,,,}:{VF-L,C-RB,F-L,,}:{A-L,F-R,A-F,F-R,}};{{VF-F,VF-RF}:{VF-LF,VF-F}:{F-F,VF-RF}:{VF-LF,F-F}:{VF-F,VF-RF}};{{,,,,}:{84.4607543945313-2082.60913085938,,,,}:{15.3789186477661-792.773620605469,99.8360824584961-1791.53259277344,,,}:{88.9755249023438-1976.36279296875,4.52073383331299-394.320922851563,104.349273681641-1550.0322265625,,}:{11.4934101104736-512.969787597656,72.9673385620117-1570.857421875,26.8706130981445-647.027038574219,77.4821624755859-1469.0146484375,}};{DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE};NOT_DECEPTIVE;OFENSIVE;Caso 1902959905 Original;True;(case_id:5|solutionType:NOT_DECEPTIVE|actions:<Move,Agent4,Flag10_Team2,NOT_DECEPTIVE,NORMAL,A-RF,A-RF,1,859,4586>)
1477686966;1;{{,,,,}:{A-B,,,,}:{VC-LB,A-F,,,}:{F-B,C-LB,F-B,,}:{F-LB,A-L,F-LB,VC-L,}};{{VF-LF,VF-F}:{VF-LF,F-F}:{VF-LF,VF-F}:{VF-LF,F-F}:{VF-LF,F-F}};{{,,,,}:{25.9899940490723-851.243774414063,,,,}:{5.66022396087646-131.897689819336,20.331714630127-814.936218261719,,,}:{58.6503028869629-1143.1474609375,32.663745880127-420.525848388672,52.9903793334961-1067.11804199219,,}:{58.0818405151367-1161.99865722656,32.0971183776855-560.568481445313,52.4217567443848-1068.59997558594,0.587508141994476-191.376586914063,}};{DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE};NOT_DECEPTIVE;OFENSIVE;Caso 1477686966;True;(case_id:0|solutionType:NOT_DECEPTIVE|actions:<Move,Agent4,Flag10_Team2,NOT_DECEPTIVE,NORMAL,A-RF,A-RF,1,904,8961>)
1449737012;1;{{,,,,}:{VC-L,,,,}:{F-LB,F-LB,,,}:{VF-L,VF-L,A-L,,}:{VF-L,VF-L,A-LF,A-F,}};{{VF-F,VF-RF}:{VF-F,VF-RF}:{VF-LF,F-F}:{VF-LF,F-F}:{VF-LF,F-F}};{{,,,,}:{6.95491218566895-193.643997192383,,,,}:{107.543800354004-1836.16040039063,100.589965820313-1730.55163574219,,,}:{117.19596862793-2313.26635742188,110.241477966309-2184.58081054688,9.65840148925781-554.187683105469,,}:{99.6728363037109-2336.76733398438,92.7180480957031-2177.62890625,7.89881229400635-906.503723144531,17.5255279541016-534.060852050781,}};{DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE};NOT_DECEPTIVE;OFENSIVE;Caso 1449737012;True;(case_id:1|solutionType:NOT_DECEPTIVE|actions:<Move,Agent3,Flag10_Team2,NOT_DECEPTIVE,NORMAL,F-RF,F-RF,1,1069,511>)
814152831;1;{{,,,,}:{A-LF,,,,}:{F-LF,C-F,,,}:{A-L,C-LB,A-B,,}:{F-L,F-LB,F-LB,A-LB,}};{{F-LF,F-RF}:{VF-LF,VF-F}:{VF-LF,VF-F}:{VF-LF,F-F}:{VF-L,F-F}};{{,,,,}:{52.8489990234375-766.632263183594,,,,}:{50.7033576965332-1063.60241699219,2.15622091293335-333.054046630859,,,}:{79.232048034668-802.269897460938,26.3932991027832-420.601959228516,28.5451698303223-691.80126953125,,}:{112.459381103516-1521.94116210938,59.6254196166992-1177.24597167969,61.7763366699219-1334.10229492188,33.232608795166-801.908996582031,}};{DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE};NOT_DECEPTIVE;OFENSIVE;caso 814152831;True;(case_id:1|solutionType:NOT_DECEPTIVE|actions:<Move,Agent4,Flag10_Team2,NOT_DECEPTIVE,NORMAL,F-RF,F-RF,1,1245,562>)
1931235537;1;{{,,,,}:{F-LF,,,,}:{F-L,A-LB,,,}:{F-L,F-LB,C-LB,,}:{F-L,F-LB,A-L,C-L,}};{{F-F,VF-RF}:{VF-LF,VF-F}:{VF-LF,F-F}:{VF-LF,F-F}:{VF-LF,F-F}};{{,,,,}:{75.3188781738281-1200.82055664063,,,,}:{116.704383850098-1329.07971191406,41.3944206237793-724.721313476563,,,}:{150.658096313477-1585.61791992188,75.3621444702148-1160.78332519531,33.9677276611328-436.331298828125,,}:{145.183654785156-1872.58374023438,69.8762435913086-1248.17468261719,28.4827499389648-589.234252929688,5.49165678024292-334.104766845703,}};{DEFENSIVE,DEFENSIVE,DEFENSIVE,NEUTRAL,DEFENSIVE};NOT_DECEPTIVE;OFENSIVE;caso 1931235537;True;(case_id:3|solutionType:NOT_DECEPTIVE|actions:<Move,Agent4,Flag10_Team2,NOT_DECEPTIVE,NORMAL,F-RF,F-RF,1,1030,853>)
