Id;Seed;MaQd;MaO;MaQd_int;MaO_int;VaSec;CaseType;Strategy;Result;Planning
0;90;{{,,,,,,,,,}:{C-LF,,,,,,,,,}:{F-LF,F-L,,,,,,,,}:{VC-B,A-B,F-RB,,,,,,,}:{F-R,F-R,VF-R,F-RF,,,,,,}:{F-B,VF-B,VF-B,F-B,VF-LB,,,,,}:{F-B,F-B,VF-B,F-B,VF-LB,C-B,,,,}:{VF-B,VF-B,VF-RB,F-B,VF-B,A-R,F-RB,,,}:{F-B,VF-B,VF-B,F-B,VF-LB,VC-B,A-RB,A-L,,}:{F-RB,VF-RB,VF-RB,F-RB,F-B,F-R,F-R,A-RF,F-RF,}};{{A-RB,A-LB,F-F,F-F}:{C-RB,A-L,VF-F,VF-F}:{A-L,F-L,VF-LF,VF-F}:{A-RB,F-LB,F-F,F-F}:{F-R,A-R,VF-F,VF-RF}:{VF-B,VF-B,A-L,A-R}:{VF-B,VF-B,F-L,C-RF}:{VF-RB,VF-B,VC-RB,F-R}:{VF-B,VF-B,A-L,A-R}:{VF-RB,F-B,A-RF,F-R}};{{0,0,0,0,0,0,0,0,0,0}:{32,0,0,0,0,0,0,0,0,0}:{34,54,0,0,0,0,0,0,0,0}:{61,63,74,0,0,0,0,0,0,0}:{44,44,45,24,0,0,0,0,0,0}:{64,65,65,64,85,0,0,0,0,0}:{64,64,65,64,85,62,0,0,0,0}:{65,65,75,64,65,43,74,0,0,0}:{64,65,65,64,85,61,73,53,0,0}:{74,75,75,74,64,44,44,23,24,0}};{{73,83,14,14}:{72,53,15,15}:{53,54,35,15}:{73,84,14,14}:{44,43,15,25}:{65,65,53,43}:{65,65,54,22}:{75,65,71,44}:{65,65,53,43}:{75,64,23,44}};{DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE};DECEPTIVE;OFENSIVE;True;(case_id:0|solutionType:DECEPTIVE|actions:<Move,Agent4,,NORMAL,F-LB,4>,<Move,Agent4,,NORMAL,F-LB,8>,<Move,Agent1,,NORMAL,F-LB,8>,<Move,Agent4,,NORMAL,F-LF,14>,<Move,Agent1,,NORMAL,F-LF,14>,<Move,Agent4,,NORMAL,F-LF,24>,<Move,Agent1,,NORMAL,F-LF,24>,<Move,Agent4,,NORMAL,F-LF,27>,<Move,Agent1,,NORMAL,F-LF,27>,<Move,Agent4,,NORMAL,F-RF,27>,<Move,Agent1,,NORMAL,F-RF,28>,<Move,Agent4,Flag10_Team2,NORMAL,F-RF,50>)
1;90;{{,,,,,,,,,}:{A-B,,,,,,,,,}:{F-L,F-LF,,,,,,,,}:{F-R,F-RF,VF-R,,,,,,,}:{C-RF,A-F,F-R,A-L,,,,,,}:{VF-B,F-B,VF-RB,VF-B,VF-B,,,,,}:{VF-B,F-B,VF-RB,VF-LB,VF-B,VC-LB,,,,}:{F-B,F-RB,VF-RB,F-B,F-B,A-RF,F-RF,,,}:{F-RB,F-RB,VF-RB,F-B,F-RB,F-RF,F-RF,A-R,,}:{F-B,A-B,VF-RB,F-LB,F-B,A-F,A-F,C-L,A-L,}};{{A-R,C-LB,VF-F,VF-F}:{F-RB,A-LB,F-F,F-F}:{A-L,F-L,VF-LF,VF-F}:{VF-R,A-R,VF-F,VF-RF}:{F-R,VC-L,VF-F,VF-F}:{VF-B,VF-B,C-L,A-R}:{VF-B,VF-B,C-L,A-R}:{VF-RB,F-B,A-F,F-R}:{VF-RB,F-B,F-RF,VF-R}:{F-RB,F-B,A-F,F-RF}};{{0,0,0,0,0,0,0,0,0,0}:{63,0,0,0,0,0,0,0,0,0}:{54,34,0,0,0,0,0,0,0,0}:{44,24,45,0,0,0,0,0,0,0}:{22,13,44,53,0,0,0,0,0,0}:{65,64,75,65,65,0,0,0,0,0}:{65,64,75,85,65,81,0,0,0,0}:{64,74,75,64,64,23,24,0,0,0}:{74,74,75,64,74,24,24,43,0,0}:{64,63,75,84,64,13,13,52,53,0}};{{43,82,15,15}:{74,83,14,14}:{53,54,35,15}:{45,43,15,25}:{44,51,15,15}:{65,65,52,43}:{65,65,52,43}:{75,64,13,44}:{75,64,24,45}:{74,64,13,24}};{DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE};NORMAL;OFENSIVE;True;(case_id:1|solutionType:NORMAL|actions:<Move,Agent2,,NORMAL,F-RF,26>,<Move,Agent2,Flag10_Team2,NORMAL,F-RF,35>)
2;90;{{,,,,,,,,,}:{A-L,,,,,,,,,}:{F-L,C-LB,,,,,,,,}:{F-L,A-LB,C-LB,,,,,,,}:{C-L,C-R,A-R,F-R,,,,,,}:{VF-LB,VF-LB,F-LB,F-LB,VF-LB,,,,,}:{F-LB,F-B,F-B,F-B,F-B,F-R,,,,}:{VF-LB,VF-B,F-B,F-B,VF-B,F-R,C-LB,,,}:{VF-LB,F-LB,F-LB,F-B,VF-LB,A-R,A-L,A-L,,}:{VF-LB,F-LB,F-LB,F-LB,VF-LB,A-R,F-L,A-L,VC-L,}};{{F-R,A-RB,F-F,VF-RF}:{A-R,C-LB,VF-F,VF-F}:{A-RB,A-LB,F-F,F-F}:{A-B,F-LB,F-LF,F-F}:{F-R,C-B,VF-F,VF-RF}:{VF-B,VF-LB,F-L,A-L}:{VF-B,VF-B,C-LF,A-R}:{VF-B,VF-B,A-L,A-R}:{VF-B,VF-LB,F-L,C-F}:{F-B,VF-LB,F-L,C-LF}};{{0,0,0,0,0,0,0,0,0,0}:{53,0,0,0,0,0,0,0,0,0}:{54,82,0,0,0,0,0,0,0,0}:{54,83,82,0,0,0,0,0,0,0}:{52,42,43,44,0,0,0,0,0,0}:{85,85,84,84,85,0,0,0,0,0}:{84,64,64,64,64,44,0,0,0,0}:{85,65,64,64,65,44,82,0,0,0}:{85,84,84,64,85,43,53,53,0,0}:{85,84,84,84,85,43,54,53,51,0}};{{44,73,14,25}:{43,82,15,15}:{73,83,14,14}:{63,84,34,14}:{44,62,15,25}:{65,85,54,53}:{65,65,32,43}:{65,65,53,43}:{65,85,54,12}:{64,85,54,32}};{DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE};NORMAL;OFENSIVE;True;(case_id:2|solutionType:NORMAL|actions:<Move,Agent3,,NORMAL,F-RF,6>,<Move,Agent3,,NORMAL,F-RF,16>,<Move,Agent4,,NORMAL,F-RF,16>,<Move,Agent3,,NORMAL,F-RF,20>,<Move,Agent4,,NORMAL,F-RF,28>,<Move,Agent3,,NORMAL,F-RF,33>,<Move,Agent3,Flag10_Team2,NORMAL,F-RF,44>)
3;70;{{,,,,,,,,,}:{A-RF,,,,,,,,,}:{C-B,A-B,,,,,,,,}:{A-L,F-L,F-L,,,,,,,}:{A-L,A-L,A-LF,C-B,,,,,,}:{VF-LB,VF-LB,F-LB,F-B,F-LB,,,,,}:{F-B,F-B,F-B,F-RB,F-RB,F-R,,,,}:{VF-LB,VF-LB,VF-LB,F-B,F-LB,VC-LB,F-L,,,}:{F-LB,VF-LB,F-LB,F-B,F-B,A-R,F-L,A-R,,}:{F-B,VF-B,F-LB,F-B,F-B,A-R,A-L,A-R,C-B,}};{{A-LB,F-RB,F-F,F-F}:{VC-B,F-R,VF-RF,VF-F}:{A-B,F-RB,F-RF,F-F}:{F-L,C-B,F-B,VF-LF}:{F-LB,A-RB,F-F,VF-F}:{VF-LB,VF-B,A-L,F-L}:{F-B,VF-RB,F-R,C-F}:{VF-LB,VF-B,A-L,F-L}:{VF-LB,VF-B,VC-B,F-L}:{VF-B,VF-B,C-RF,A-L}};{{0,0,0,0,0,0,0,0,0,0}:{23,0,0,0,0,0,0,0,0,0}:{62,63,0,0,0,0,0,0,0,0}:{53,54,54,0,0,0,0,0,0,0}:{53,53,33,62,0,0,0,0,0,0}:{85,85,84,64,84,0,0,0,0,0}:{64,64,64,74,74,44,0,0,0,0}:{85,85,85,64,84,81,54,0,0,0}:{84,85,84,64,64,43,54,43,0,0}:{64,65,84,64,64,43,53,43,62,0}};{{83,74,14,14}:{61,44,25,15}:{63,74,24,14}:{54,62,64,35}:{84,73,14,15}:{85,65,53,54}:{64,75,44,12}:{85,65,53,54}:{85,65,61,54}:{65,65,22,53}};{DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE};DECEPTIVE;OFENSIVE;True;(case_id:0|solutionType:DECEPTIVE|actions:<Move,Agent3,,NORMAL,F-LF,2>,<Move,Agent1,,NORMAL,F-LF,7>,<Move,Agent4,,NORMAL,F-RF,11>,<Move,Agent5,,NORMAL,F-RF,11>,<Move,Agent2,,NORMAL,F-RB,14>,<Move,Agent3,,NORMAL,F-LF,19>,<Move,Agent1,,NORMAL,F-LF,25>,<Move,Agent5,,NORMAL,F-RF,28>,<Move,Agent4,,NORMAL,F-RF,31>,<Move,Agent2,,NORMAL,F-RF,34>,<Move,Agent2,,NORMAL,F-LF,45>,<Move,Agent5,,NORMAL,F-RF,50>,<Move,Agent2,,NORMAL,F-LF,55>,<Move,Agent3,,NORMAL,F-LF,58>,<Move,Agent1,,NORMAL,F-LF,65>,<Move,Agent3,,NORMAL,F-LF,65>,<Move,Agent3,,NORMAL,F-LF,68>,<Move,Agent3,,NORMAL,F-LF,68>,<Move,Agent3,Agent3,NORMAL,F-LF,73>,<Move,Agent3,,NORMAL,F-LF,73>,<Move,Agent3,,NORMAL,F-LF,76>)
4;70;{{,,,,,,,,,}:{A-B,,,,,,,,,}:{F-RB,A-R,,,,,,,,}:{F-LB,F-L,VF-L,,,,,,,}:{A-R,A-RF,A-LF,F-R,,,,,,}:{F-B,A-B,F-LB,F-RB,F-LB,,,,,}:{F-LB,F-LB,VF-L,A-B,VF-LB,F-L,,,,}:{F-B,F-B,F-LB,F-RB,F-LB,C-LB,A-R,,,}:{VF-B,VF-LB,VF-LB,F-B,VF-LB,F-LB,F-B,F-LB,,}:{VF-B,F-B,F-LB,F-RB,VF-LB,A-LB,A-RB,C-B,A-R,}};{{A-L,C-R,VF-F,VF-F}:{A-LB,A-RB,F-F,F-F}:{A-B,F-RB,VF-RF,F-F}:{VF-L,F-LB,F-F,VF-LF}:{VC-LB,F-R,VF-F,VF-F}:{F-LB,F-B,A-F,F-LF}:{VF-LB,F-B,F-LF,VF-LF}:{VF-LB,F-B,A-F,F-LF}:{VF-LB,VF-B,A-L,F-L}:{VF-LB,VF-B,VC-B,F-L}};{{0,0,0,0,0,0,0,0,0,0}:{63,0,0,0,0,0,0,0,0,0}:{74,43,0,0,0,0,0,0,0,0}:{84,54,55,0,0,0,0,0,0,0}:{43,23,33,44,0,0,0,0,0,0}:{64,63,84,74,84,0,0,0,0,0}:{84,84,55,63,85,54,0,0,0,0}:{64,64,84,74,84,82,43,0,0,0}:{65,85,85,64,85,84,64,84,0,0}:{65,64,84,74,85,83,73,62,43,0}};{{53,42,15,15}:{83,73,14,14}:{63,74,25,14}:{55,84,14,35}:{81,44,15,15}:{84,64,13,34}:{85,64,34,35}:{85,64,13,34}:{85,65,53,54}:{85,65,61,54}};{DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE};DECEPTIVE;OFENSIVE;True;(case_id:1|solutionType:DECEPTIVE|actions:<Move,Agent3,,NORMAL,F-LF,3>,<Move,Agent1,,NORMAL,F-RB,8>,<Move,Agent1,,NORMAL,F-RB,9>,<Move,Agent5,,NORMAL,VF-RF,16>,<Move,Agent2,,NORMAL,F-RF,17>,<Move,Agent4,,NORMAL,F-RF,17>,<Move,Agent3,,NORMAL,F-LF,24>,<Move,Agent4,,NORMAL,F-RF,-29,9516794>,<Move,Agent1,,NORMAL,F-RF,33>,<Move,Agent3,,NORMAL,F-RF,37>,<Move,Agent2,,NORMAL,F-RF,43>,<Move,Agent5,,NORMAL,F-RF,49>,<Move,Agent3,,NORMAL,F-RF,52>)
5;70;{{,,,,,,,,,}:{C-R,,,,,,,,,}:{VF-L,VF-L,,,,,,,,}:{C-LB,C-L,VF-R,,,,,,,}:{A-RF,A-F,VF-R,A-RF,,,,,,}:{F-B,F-B,VF-RB,F-B,VF-B,,,,,}:{VF-LB,VF-LB,VF-B,VF-LB,VF-LB,VF-L,,,,}:{VF-LB,VF-L,F-B,VF-L,VF-LB,VF-L,C-F,,,}:{F-B,F-B,VF-RB,F-B,VF-B,C-LB,F-R,VF-R,,}:{F-B,F-B,VF-RB,F-RB,F-B,A-RF,VF-R,VF-R,A-RF,}};{{A-B,F-R,VF-RF,F-F}:{A-RB,F-R,VF-RF,F-F}:{F-L,A-L,VF-F,VF-LF}:{A-B,F-RB,VF-RF,F-F}:{A-R,F-R,VF-RF,VF-F}:{VF-B,VF-RB,F-R,VC-RF}:{VF-LB,VF-B,A-L,F-L}:{VF-LB,F-B,A-LF,F-L}:{VF-B,VF-RB,F-R,VC-RB}:{F-B,VF-RB,VF-R,A-RF}};{{0,0,0,0,0,0,0,0,0,0}:{42,0,0,0,0,0,0,0,0,0}:{55,55,0,0,0,0,0,0,0,0}:{82,52,45,0,0,0,0,0,0,0}:{23,13,45,23,0,0,0,0,0,0}:{64,64,75,64,65,0,0,0,0,0}:{85,85,65,85,85,55,0,0,0,0}:{85,55,64,55,85,55,12,0,0,0}:{64,64,75,64,65,82,44,45,0,0}:{64,64,75,74,64,23,45,45,23,0}};{{63,44,25,14}:{73,44,25,14}:{54,53,15,35}:{63,74,25,14}:{43,44,25,15}:{65,75,44,21}:{85,65,53,54}:{85,64,33,54}:{65,75,44,71}:{64,75,45,23}};{DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE};DECEPTIVE;OFENSIVE;True;(case_id:2|solutionType:DECEPTIVE|actions:<Move,Agent5,,NORMAL,VF-RF,6>,<Move,Agent1,,NORMAL,VF-RF,6>,<Move,Agent3,,NORMAL,VF-RF,14>,<Move,Agent2,,NORMAL,F-RF,19>,<Move,Agent4,,NORMAL,F-RF,19>,<Move,Agent1,,NORMAL,F-RF,30>,<Move,Agent4,,NORMAL,F-LF,34>,<Move,Agent2,,NORMAL,F-LF,39>,<Move,Agent5,,NORMAL,F-LF,42>,<Move,Agent2,,NORMAL,F-LF,52>,<Move,Agent4,,NORMAL,F-LF,52>,<Move,Agent2,,NORMAL,F-LF,57>,<Move,Agent4,,NORMAL,F-LF,57>,<Move,Agent2,,NORMAL,F-LF,60>,<Move,Agent4,,NORMAL,F-LF,60>,<Move,Agent2,,NORMAL,F-LF,61>,<Move,Agent4,,NORMAL,F-LF,61>)
6;70;{{,,,,,,,,,}:{VF-L,,,,,,,,,}:{C-LF,F-R,,,,,,,,}:{F-L,A-R,F-L,,,,,,,}:{A-LF,F-R,C-L,A-RF,,,,,,}:{VF-LB,VF-B,VF-LB,VF-B,VF-B,,,,,}:{VF-LB,F-B,VF-LB,F-B,VF-LB,A-LF,,,,}:{F-B,VF-RB,F-B,F-RB,F-B,F-R,F-R,,,}:{VF-LB,VF-B,VF-LB,VF-LB,VF-LB,A-L,A-LB,VF-L,,}:{VF-LB,F-B,VF-LB,F-B,VF-LB,A-F,VC-B,F-L,A-RF,}};{{A-RB,F-R,VF-RF,F-F}:{F-L,C-LB,VF-F,VF-LF}:{C-R,F-R,VF-RF,VF-F}:{A-L,A-RB,VF-F,VF-F}:{VC-B,F-R,VF-F,VF-B}:{VF-B,VF-B,VC-B,F-L}:{VF-LB,F-B,C-LF,F-L}:{F-B,VF-RB,F-R,A-RF}:{VF-LB,VF-B,A-L,F-L}:{VF-LB,F-B,C-LF,F-L}};{{0,0,0,0,0,0,0,0,0,0}:{55,0,0,0,0,0,0,0,0,0}:{32,44,0,0,0,0,0,0,0,0}:{54,43,54,0,0,0,0,0,0,0}:{33,44,52,23,0,0,0,0,0,0}:{85,65,85,65,65,0,0,0,0,0}:{85,64,85,64,85,33,0,0,0,0}:{64,75,64,74,64,44,44,0,0,0}:{85,65,85,85,85,53,83,55,0,0}:{85,64,85,64,85,13,61,54,23,0}};{{73,44,25,14}:{54,82,15,35}:{42,44,25,15}:{53,73,15,15}:{61,44,15,65}:{65,65,61,54}:{85,64,32,54}:{64,75,44,23}:{85,65,53,54}:{85,64,32,54}};{DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE};DECEPTIVE;OFENSIVE;True;(case_id:3|solutionType:DECEPTIVE|actions:<Move,Agent5,,NORMAL,VF-RB,5>,<Move,Agent4,,NORMAL,F-RB,5>,<Move,Agent2,,NORMAL,VF-LF,9>,<Move,Agent1,,NORMAL,VF-RB,12>,<Move,Agent3,,NORMAL,VF-RF,15>,<Move,Agent4,,NORMAL,F-RF,26>,<Move,Agent1,,NORMAL,F-RF,29>,<Move,Agent2,,NORMAL,F-LF,37>,<Move,Agent3,,NORMAL,F-RF,41>,<Move,Agent4,,NORMAL,F-RF,48>,<Move,Agent5,,NORMAL,F-RF,48>,<Move,Agent1,,NORMAL,F-RF,48>,<Move,Agent2,,NORMAL,F-LF,52>,<Move,Agent2,,NORMAL,F-LF,62>,<Move,Agent3,,NORMAL,F-RF,65>)
7;70;{{,,,,,,,,,}:{A-R,,,,,,,,,}:{C-L,F-L,,,,,,,,}:{A-L,F-L,C-LF,,,,,,,}:{A-L,F-L,VC-L,VC-B,,,,,,}:{F-B,F-B,F-B,VF-B,F-B,,,,,}:{VF-RB,VF-B,VF-RB,VF-RB,VF-RB,F-R,,,,}:{F-B,VF-LB,F-B,F-B,F-B,C-L,F-L,,,}:{F-LB,VF-LB,F-B,F-B,F-B,A-L,VF-L,C-LF,,}:{F-B,VF-LB,F-B,F-B,F-B,A-L,VF-L,VC-L,VC-B,}};{{A-LB,A-RB,F-F,VF-F}:{C-B,F-R,VF-RF,F-F}:{F-L,C-B,F-F,VF-LF}:{F-L,C-LB,VF-F,VF-LF}:{F-L,A-B,F-F,VF-LF}:{VF-B,VF-B,A-R,A-L}:{VF-B,VF-RB,F-B,A-R}:{VF-LB,VF-B,VC-F,F-L}:{VF-LB,F-B,C-LF,F-L}:{VF-LB,VF-B,VC-LF,F-L}};{{0,0,0,0,0,0,0,0,0,0}:{43,0,0,0,0,0,0,0,0,0}:{52,54,0,0,0,0,0,0,0,0}:{53,54,32,0,0,0,0,0,0,0}:{53,54,51,61,0,0,0,0,0,0}:{64,64,64,65,64,0,0,0,0,0}:{75,65,75,75,75,44,0,0,0,0}:{64,85,64,64,64,52,54,0,0,0}:{84,85,64,64,64,53,55,32,0,0}:{64,85,64,64,64,53,55,51,61,0}};{{83,73,14,15}:{62,44,25,14}:{54,62,14,35}:{54,82,15,35}:{54,63,14,35}:{65,65,43,53}:{65,75,64,43}:{85,65,11,54}:{85,64,32,54}:{85,65,31,54}};{DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE};DECEPTIVE;OFENSIVE;True;(case_id:4|solutionType:DECEPTIVE|actions:<Move,Agent3,,NORMAL,F-RB,3>,<Move,Agent5,,NORMAL,F-RB,3>,<Move,Agent4,,NORMAL,F-RB,3>,<Move,Agent1,,NORMAL,F-LF,8>,<Move,Agent2,,NORMAL,F-LF,8>,<Move,Agent3,,NORMAL,F-RF,14>,<Move,Agent4,,NORMAL,F-RF,16>,<Move,Agent5,,NORMAL,F-RF,18>,<Move,Agent2,,NORMAL,F-LF,22>,<Move,Agent3,,NORMAL,F-RF,28>,<Move,Agent5,,NORMAL,F-RF,30>,<Move,Agent4,,NORMAL,F-RF,32>,<Move,Agent2,,NORMAL,F-LF,35>,<Move,Agent1,,NORMAL,F-LF,38>,<Move,Agent5,,NORMAL,F-LF,44>,<Move,Agent3,,NORMAL,F-LF,48>,<Move,Agent4,,NORMAL,F-LF,48>,<Move,Agent2,,NORMAL,F-LF,48>,<Move,Agent1,,NORMAL,F-LF,52>,<Move,Agent1,,NORMAL,F-LF,57>)
8;70;{{,,,,,,,,,}:{F-R,,,,,,,,,}:{A-RF,F-L,,,,,,,,}:{VC-B,F-L,A-LB,,,,,,,}:{F-R,C-L,F-B,F-R,,,,,,}:{F-B,VF-LB,VF-B,F-B,VF-LB,,,,,}:{F-B,VF-LB,VF-B,F-B,VF-LB,C-RB,,,,}:{F-B,VF-LB,F-B,F-B,VF-LB,A-RF,A-F,,,}:{F-B,VF-LB,VF-B,F-B,VF-LB,VC-B,C-LF,A-LB,,}:{F-LB,VF-LB,VF-LB,F-LB,VF-LB,A-LF,F-LF,F-L,A-LF,}};{{F-L,A-B,F-F,VF-LF}:{A-R,F-R,VF-RF,VF-F}:{A-L,VC-R,VF-F,VF-F}:{F-L,A-B,F-F,VF-LF}:{VC-R,F-R,VF-RF,VF-F}:{VF-LB,VF-B,VC-LF,F-L}:{VF-B,VF-B,VC-RB,F-L}:{F-LB,F-B,A-F,F-LF}:{VF-LB,VF-B,VC-LF,F-L}:{VF-LB,F-B,A-LF,VF-L}};{{0,0,0,0,0,0,0,0,0,0}:{44,0,0,0,0,0,0,0,0,0}:{23,54,0,0,0,0,0,0,0,0}:{61,54,83,0,0,0,0,0,0,0}:{44,52,64,44,0,0,0,0,0,0}:{64,85,65,64,85,0,0,0,0,0}:{64,85,65,64,85,72,0,0,0,0}:{64,85,64,64,85,23,13,0,0,0}:{64,85,65,64,85,61,32,83,0,0}:{84,85,85,84,85,33,34,54,33,0}};{{54,63,14,35}:{43,44,25,15}:{53,41,15,15}:{54,63,14,35}:{41,44,25,15}:{85,65,31,54}:{65,65,71,54}:{84,64,13,34}:{85,65,31,54}:{85,64,33,55}};{DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE};DECEPTIVE;OFENSIVE;True;(case_id:5|solutionType:DECEPTIVE|actions:<Move,Agent3,,NORMAL,F-RB,4>,<Move,Agent1,,NORMAL,F-RB,4>,<Move,Agent5,,NORMAL,F-LB,7>,<Move,Agent2,,NORMAL,VF-RB,9>,<Move,Agent3,,NORMAL,F-RF,15>,<Move,Agent1,,NORMAL,F-RB,18>,<Move,Agent5,,NORMAL,F-LF,21>,<Move,Agent4,,NORMAL,F-RF,24>,<Move,Agent2,,NORMAL,F-RF,27>,<Move,Agent3,,NORMAL,F-RF,33>,<Move,Agent4,,NORMAL,F-RF,39>,<Move,Agent2,,NORMAL,F-RF,39>,<Move,Agent1,,NORMAL,F-RF,42>,<Move,Agent5,,NORMAL,F-LF,47>,<Move,Agent4,,NORMAL,F-RF,51>,<Move,Agent3,,NORMAL,F-LF,54>,<Move,Agent2,,NORMAL,F-LF,56>,<Move,Agent1,,NORMAL,F-LF,59>,<Move,Agent4,,NORMAL,F-RF,61>,<Move,Agent1,,NORMAL,F-LF,66>,<Move,Agent5,,NORMAL,F-LF,68>,<Move,Agent2,,NORMAL,F-LF,70>,<Move,Agent3,,NORMAL,F-LF,73>,<Move,Agent4,,NORMAL,F-RF,75>,<Move,Agent5,,NORMAL,F-LF,79>,<Move,Agent5,,NORMAL,F-LF,80>,<Move,Agent1,,NORMAL,F-LF,84>)
9;70;{{,,,,,,,,,}:{F-LF,,,,,,,,,}:{VF-L,A-L,,,,,,,,}:{VF-L,A-L,VC-LB,,,,,,,}:{VC-R,F-R,VF-R,VF-R,,,,,,}:{F-B,VF-RB,VF-RB,VF-RB,F-B,,,,,}:{F-LB,F-B,F-B,F-B,F-LB,F-L,,,,}:{VF-LB,F-B,F-B,F-B,VF-LB,VF-L,A-L,,,}:{VF-LB,F-B,F-B,F-B,VF-LB,VF-L,A-L,VC-LB,,}:{F-B,VF-RB,VF-RB,VF-RB,F-B,VC-R,F-R,VF-R,VF-R,}};{{A-RB,F-R,VF-RF,F-F}:{A-L,A-R,VF-F,VF-F}:{F-L,VC-LF,VF-F,VF-LF}:{F-L,VC-L,VF-F,VF-LF}:{A-RB,VF-R,VF-RF,F-F}:{VF-B,VF-RB,F-B,A-R}:{F-B,F-B,A-RF,F-LF}:{VF-LB,F-B,A-F,F-LF}:{VF-LB,F-B,A-F,F-LF}:{VF-B,VF-RB,F-R,A-R}};{{0,0,0,0,0,0,0,0,0,0}:{34,0,0,0,0,0,0,0,0,0}:{55,53,0,0,0,0,0,0,0,0}:{55,53,81,0,0,0,0,0,0,0}:{41,44,45,45,0,0,0,0,0,0}:{64,75,75,75,64,0,0,0,0,0}:{84,64,64,64,84,54,0,0,0,0}:{85,64,64,64,85,55,53,0,0,0}:{85,64,64,64,85,55,53,81,0,0}:{64,75,75,75,64,41,44,45,45,0}};{{73,44,25,14}:{53,43,15,15}:{54,31,15,35}:{54,51,15,35}:{73,45,25,14}:{65,75,64,43}:{64,64,23,34}:{85,64,13,34}:{85,64,13,34}:{65,75,44,43}};{DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE,DEFENSIVE};DECEPTIVE;OFENSIVE;True;(case_id:6|solutionType:DECEPTIVE|actions:<Move,Agent3,,NORMAL,F-RB,5>,<Move,Agent4,,NORMAL,F-RB,5>,<Move,Agent5,,NORMAL,F-LF,11>,<Move,Agent1,,NORMAL,F-LF,11>,<Move,Agent2,,NORMAL,F-RB,15>,<Move,Agent4,,NORMAL,F-RB,18>,<Move,Agent3,,NORMAL,F-RF,20>,<Move,Agent2,,NORMAL,F-LF,27>,<Move,Agent4,,NORMAL,F-RF,30>,<Move,Agent3,,NORMAL,F-RF,35>,<Move,Agent1,,NORMAL,F-LF,37>,<Move,Agent5,,NORMAL,F-LF,41>,<Move,Agent2,,NORMAL,F-LF,44>,<Move,Agent4,,NORMAL,F-RF,48>,<Move,Agent3,,NORMAL,F-RF,52>,<Move,Agent1,,NORMAL,F-RF,55>,<Move,Agent5,,NORMAL,F-LF,59>,<Move,Agent2,,NORMAL,F-LF,61>,<Move,Agent3,,NORMAL,F-RF,65>,<Move,Agent4,,NORMAL,F-RF,67>)
